Stacja1;Stacja2;Dystans
Walbrzych Glowny;Jasienica Mazowiecka;148,09
Walbrzych Glowny;Osielec;471,6
Walbrzych Glowny;Krzyz Krzyz;282,79
Walbrzych Glowny;Katy Wroclawskie;216,81
Walbrzych Glowny;Ksieginice;269,22
Walbrzych Glowny;Skokowa;98,58
Walbrzych Glowny;Szepietowo;73,74
Walbrzych Glowny;Zukowo Wschodnie;19,61
Walbrzych Glowny;Stargard;73,68
Walbrzych Glowny;Olsztyn Glowny;146,22
Walbrzych Glowny;Slupca;210,93
Walbrzych Glowny;Stare Kurowo;109,36
Walbrzych Glowny;Glucholazy;195,43
Walbrzych Glowny;Trakiszki;157,02
Walbrzych Glowny;Koszecin;55,73
Walbrzych Glowny;Wroclaw Pracze;47,95
Walbrzych Glowny;Wegliniec;260,73
Walbrzych Glowny;Wolin;414,1
Walbrzych Glowny;Legnica;483,87
Walbrzych Glowny;Kalisz;371,98
Walbrzych Glowny;Machnacz;128,78
Walbrzych Glowny;Swidwin;207,83
Walbrzych Glowny;Monki;63,52
Walbrzych Glowny;Nowiny Wielkie;415,53
Walbrzych Glowny;Warszawa Ochota;287,75
Walbrzych Glowny;Dobroszyce;455,25
Walbrzych Glowny;Susz;375,27
Walbrzych Glowny;Jaworzyna Slaska;407,68
Walbrzych Glowny;Bydgoszcz Glowna;140,84
Walbrzych Glowny;Ilawa Glowna;287,11
Walbrzych Glowny;Golubie Kaszubskie;42,16
Walbrzych Glowny;Modlin Nowy;231,13
Walbrzych Glowny;Witaszyce;183,3
Walbrzych Glowny;Jablonowo Pomorskie;493,31
Walbrzych Glowny;Drawski Mlyn;61,3
Walbrzych Glowny;Lodz Kaliska;418,47
Walbrzych Glowny;Tczew;455,59
Walbrzych Glowny;Dziemiany Kaszubskie;255,54
Walbrzych Glowny;Duszniki-Zdroj;84,05
Walbrzych Glowny;Ziebice;45,07
Walbrzych Glowny;Nidzica;233,32
Walbrzych Glowny;Lowicz Glowny;44,59
Walbrzych Glowny;Scinawka Srednia;385,76
Walbrzych Glowny;NowaWies Mochy;310,0
Walbrzych Glowny;Rogozno Wielkopolskie;230,02
Walbrzych Glowny;Gorzkowice;138,73
Walbrzych Glowny;Stary Sacz;374,71
Walbrzych Glowny;Klodawa;328,19
Walbrzych Glowny;Poznan Glowny;280,47
Walbrzych Glowny;Lebork;268,96
Walbrzych Glowny;Borowa Olesnicka;264,16
Walbrzych Glowny;Wroclaw Kuzniki;219,01
Walbrzych Glowny;Turzno;42,28
Walbrzych Glowny;Serock;421,17
Walbrzych Glowny;Bochnia;286,2
Walbrzych Glowny;Wolczyn;409,64
Walbrzych Glowny;Koluszki;162,5
Walbrzych Glowny;Osowiec;258,58
Walbrzych Glowny;Kaliska;159,12
Walbrzych Glowny;Swiekatowo;172,41
Walbrzych Glowny;Damnica;350,44
Walbrzych Glowny;Pierzchno;436,77
Walbrzych Glowny;Warszawa Srodmiescie;83,24
Walbrzych Glowny;Walbrzych Miasto;400,64
Walbrzych Glowny;Rabka-Zdroj;473,01
Walbrzych Glowny;Bladzim;114,36
Walbrzych Glowny;Wronki;335,37
Walbrzych Glowny;Lancut;117,93
Walbrzych Glowny;Wloszakowice;346,32
Walbrzych Glowny;Opalenica;405,67
Walbrzych Glowny;Imbramowice;357,48
Walbrzych Glowny;Lubon Poznania;293,63
Walbrzych Glowny;Ciechanow;250,36
Walbrzych Glowny;Czeremcha;287,6
Walbrzych Glowny;Brusy;142,22
Walbrzych Glowny;Roztoki Bystrzyckie;139,62
Walbrzych Glowny;Szymiszow;263,27
Walbrzych Glowny;Sulejowek Milosna;130,93
Walbrzych Glowny;Krakow Glowny;339,0
Walbrzych Glowny;Kamieniec Zabkowicki;235,83
Walbrzych Glowny;Warszawa Wschodnia;376,42
Walbrzych Glowny;Bierutow;316,4
Walbrzych Glowny;Kaliska Kujawskie;491,05
Walbrzych Glowny;Parlin;268,63
Walbrzych Glowny;Szamotuly;205,58
Walbrzych Glowny;Grodzisk Mazowiecki;72,51
Walbrzych Glowny;Janikowo;425,16
Walbrzych Glowny;Plochocin;384,54
Walbrzych Glowny;Konopki;460,87
Walbrzych Glowny;Szczecinek;15,8
Walbrzych Glowny;Zary;21,36
Walbrzych Glowny;Raba Wyzna;58,75
